,ip,timestamp,request,status,bytes_sent,referrer,user_agent,date,endpoint
0,1.202.218.8,2012-06-20 19:05:12+02:00,GET /robots.txt HTTP/1.0,404,492,-,\,2012-06-20,/robots.txt
1,208.115.113.91,2012-06-20 19:20:16+02:00,GET /logs/?C=M;O=D HTTP/1.1,200,1278,-,Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com),2012-06-20,/logs/?C=M;O=D
2,123.125.71.20,2012-06-20 19:30:40+02:00,GET / HTTP/1.1,200,912,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/
3,220.181.108.101,2012-06-20 19:31:01+02:00,GET / HTTP/1.1,200,912,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/
4,123.125.68.79,2012-06-20 19:53:24+02:00,GET / HTTP/1.1,200,625,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/
5,178.154.210.252,2012-06-20 19:54:10+02:00,GET /?C=S;O=A HTTP/1.1,200,663,-,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),2012-06-20,/?C=S;O=A
6,74.125.126.102,2012-06-20 20:15:28+02:00,GET / HTTP/1.1,200,606,http://www.google.com/url?sa=t&rct=j&q=error&source=web&cd=1&ved=0CFAQFjAG&url=http%3A%2F%2Fwww.isrolab.com%2F&ei=GxPiT5PsL4e04AHPtgE&usg=AFQjCNHnmjmdkUV584ORIpOXz7zAPX0UHQ,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),2012-06-20,/
7,74.125.126.103,2012-06-20 20:15:29+02:00,GET /icons/blank.gif HTTP/1.1,200,383,http://www.isrolab.com/,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),2012-06-20,/icons/blank.gif
8,74.125.126.93,2012-06-20 20:15:29+02:00,GET /icons/folder.gif HTTP/1.1,200,460,http://www.isrolab.com/,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),2012-06-20,/icons/folder.gif
9,74.125.126.82,2012-06-20 20:15:30+02:00,GET /favicon.ico HTTP/1.1,404,449,-,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),2012-06-20,/favicon.ico
10,184.82.92.239,2012-06-20 21:03:44+02:00,GET /logs/access.log HTTP/1.1,200,2519,http://isrolab.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 3.5.30729),2012-06-20,/logs/access.log
