Індекс дня,Сторінок за сеанс
"01.01.22,""4,07"""
"02.01.22,""3,94"""
"03.01.22,""4,32"""
"04.01.22,""4,89"""
"05.01.22,""4,96"""
"06.01.22,""4,80"""
"07.01.22,""4,88"""
"08.01.22,""4,02"""
"09.01.22,""3,97"""
"10.01.22,""4,50"""
"11.01.22,""4,54"""
"12.01.22,""4,72"""
"13.01.22,""4,98"""
"14.01.22,""4,84"""
"15.01.22,""4,14"""
"16.01.22,""4,25"""
"17.01.22,""3,78"""
"18.01.22,""4,69"""
"19.01.22,""4,31"""
"20.01.22,""4,88"""
"21.01.22,""4,88"""
"22.01.22,""3,79"""
"23.01.22,""3,64"""
"24.01.22,""4,68"""
"25.01.22,""5,21"""
"26.01.22,""4,87"""
"27.01.22,""4,64"""
"28.01.22,""4,55"""
"29.01.22,""3,95"""
"30.01.22,""4,27"""
"31.01.22,""4,76"""
"01.02.22,""4,79"""
"02.02.22,""4,66"""
"03.02.22,""4,77"""
"04.02.22,""4,82"""
"05.02.22,""3,89"""
"06.02.22,""4,10"""
"07.02.22,""4,57"""
"08.02.22,""4,46"""
"09.02.22,""4,62"""
"10.02.22,""4,36"""
"11.02.22,""4,38"""
"12.02.22,""3,81"""
"13.02.22,""3,79"""
"14.02.22,""4,45"""
"15.02.22,""4,89"""
"16.02.22,""4,26"""
"17.02.22,""4,67"""
"18.02.22,""4,59"""
"19.02.22,""3,82"""
"20.02.22,""4,42"""
"21.02.22,""3,93"""
"22.02.22,""4,44"""
"23.02.22,""4,80"""
"24.02.22,""4,95"""
"25.02.22,""5,08"""
"26.02.22,""3,79"""
"27.02.22,""4,66"""
"28.02.22,""4,85"""
"01.03.22,""4,52"""
"02.03.22,""4,65"""
"03.03.22,""4,52"""
"04.03.22,""4,70"""
"05.03.22,""4,08"""
"06.03.22,""4,92"""
"07.03.22,""4,94"""
"08.03.22,""4,78"""
"09.03.22,""4,35"""
"10.03.22,""4,83"""
"11.03.22,""4,31"""
"12.03.22,""4,39"""
"13.03.22,""4,48"""
"14.03.22,""4,89"""
"15.03.22,""5,04"""
"16.03.22,""5,10"""
"17.03.22,""5,31"""
"18.03.22,""5,03"""
"19.03.22,""4,50"""
"20.03.22,""4,39"""
"21.03.22,""4,81"""
"22.03.22,""4,68"""
"23.03.22,""4,61"""
"24.03.22,""5,69"""
"25.03.22,""5,81"""
"26.03.22,""4,73"""
"27.03.22,""4,60"""
"28.03.22,""4,87"""
"29.03.22,""5,12"""
"30.03.22,""5,46"""
"31.03.22,""5,30"""
"01.04.22,""5,41"""
"02.04.22,""4,53"""
"03.04.22,""4,44"""
"04.04.22,""5,24"""
"05.04.22,""5,31"""
"06.04.22,""4,90"""
"07.04.22,""4,42"""
"08.04.22,""4,89"""
"09.04.22,""3,67"""
"10.04.22,""4,06"""
"11.04.22,""4,83"""
"12.04.22,""4,70"""
"13.04.22,""4,73"""
"14.04.22,""5,13"""
"15.04.22,""5,07"""
"16.04.22,""4,62"""
"17.04.22,""4,24"""
"18.04.22,""4,96"""
"19.04.22,""4,74"""
"20.04.22,""4,86"""
"21.04.22,""5,25"""
"22.04.22,""5,03"""
"23.04.22,""4,46"""
"24.04.22,""4,24"""
"25.04.22,""4,79"""
"26.04.22,""4,90"""
"27.04.22,""5,10"""
"28.04.22,""5,25"""
"29.04.22,""5,35"""
"30.04.22,""4,08"""
"01.05.22,""4,88"""
"02.05.22,""5,37"""
"03.05.22,""4,82"""
"04.05.22,""4,78"""
"05.05.22,""5,13"""
"06.05.22,""3,79"""
"07.05.22,""2,93"""
"08.05.22,""4,03"""
"09.05.22,""4,85"""
"10.05.22,""4,82"""
"11.05.22,""4,59"""
"12.05.22,""4,58"""
"13.05.22,""4,60"""
"14.05.22,""3,09"""
"15.05.22,""3,74"""
"16.05.22,""4,68"""
"17.05.22,""4,78"""
"18.05.22,""4,60"""
"19.05.22,""5,12"""
"20.05.22,""5,28"""
"21.05.22,""3,85"""
"22.05.22,""3,98"""
"23.05.22,""4,55"""
"24.05.22,""5,04"""
"25.05.22,""4,90"""
"26.05.22,""4,79"""
"27.05.22,""5,09"""
"28.05.22,""3,91"""
"29.05.22,""4,16"""
"30.05.22,""3,98"""
"31.05.22,""4,77"""
"01.06.22,""4,71"""
"02.06.22,""4,91"""
"03.06.22,""5,44"""
"04.06.22,""4,71"""
"05.06.22,""4,52"""
"06.06.22,""5,06"""
"07.06.22,""4,85"""
"08.06.22,""4,70"""
"09.06.22,""4,96"""
"10.06.22,""5,30"""
"11.06.22,""4,80"""
"12.06.22,""4,75"""
"13.06.22,""5,75"""
"14.06.22,""5,51"""
"15.06.22,""5,62"""
"16.06.22,""5,43"""
"17.06.22,""5,70"""
"18.06.22,""4,44"""
"19.06.22,""4,38"""
"20.06.22,""4,34"""
"21.06.22,""4,95"""
"22.06.22,""5,37"""
"23.06.22,""5,05"""
"24.06.22,""5,30"""
"25.06.22,""4,44"""
"26.06.22,""4,30"""
"27.06.22,""5,25"""
"28.06.22,""5,35"""
"29.06.22,""5,11"""
"30.06.22,""5,14"""
"01.07.22,""5,14"""
"02.07.22,""4,21"""
"03.07.22,""4,19"""
"04.07.22,""3,54"""
"05.07.22,""4,31"""
"06.07.22,""4,94"""
"07.07.22,""5,13"""
"08.07.22,""5,20"""
"09.07.22,""4,36"""
"10.07.22,""4,23"""
"11.07.22,""4,90"""
"12.07.22,""5,13"""
"13.07.22,""4,79"""
"14.07.22,""5,30"""
"15.07.22,""5,35"""
"16.07.22,""4,44"""
"17.07.22,""4,66"""
"18.07.22,""5,27"""
"19.07.22,""5,11"""
"20.07.22,""5,34"""
"21.07.22,""5,38"""
"22.07.22,""5,78"""
"23.07.22,""4,22"""
"24.07.22,""4,64"""
"25.07.22,""5,10"""
"26.07.22,""5,46"""
"27.07.22,""5,37"""
"28.07.22,""5,32"""
"29.07.22,""5,59"""
"30.07.22,""4,83"""
"31.07.22,""4,98"""
"01.08.22,""5,40"""
"02.08.22,""5,19"""
"03.08.22,""5,25"""
"04.08.22,""5,59"""
"05.08.22,""5,96"""
"06.08.22,""5,07"""
"07.08.22,""4,90"""
"08.08.22,""5,53"""
"09.08.22,""5,74"""
"10.08.22,""5,85"""
"11.08.22,""5,38"""
"12.08.22,""6,55"""
"13.08.22,""4,39"""
"14.08.22,""4,54"""
"15.08.22,""5,18"""
"16.08.22,""5,46"""
"17.08.22,""5,48"""
"18.08.22,""5,23"""
"19.08.22,""6,05"""
"20.08.22,""4,87"""
"21.08.22,""4,57"""
"22.08.22,""5,45"""
"23.08.22,""5,36"""
"24.08.22,""5,48"""
"25.08.22,""5,44"""
"26.08.22,""6,04"""
"27.08.22,""4,37"""
"28.08.22,""5,01"""
"29.08.22,""5,63"""
"30.08.22,""4,93"""
"31.08.22,""4,99"""
"01.09.22,""5,42"""
"02.09.22,""5,45"""
"03.09.22,""4,75"""
"04.09.22,""3,80"""
"05.09.22,""3,94"""
"06.09.22,""5,04"""
"07.09.22,""4,86"""
"08.09.22,""5,02"""
"09.09.22,""5,52"""
