Індекс дня,Сеанси
01.01.22,1 176
02.01.22,1 408
03.01.22,1 711
04.01.22,2 470
05.01.22,2 554
06.01.22,2 209
07.01.22,2 167
08.01.22,1 587
09.01.22,1 758
10.01.22,2 719
11.01.22,2 782
12.01.22,2 787
13.01.22,2 713
14.01.22,2 289
15.01.22,1 640
16.01.22,1 565
17.01.22,2 191
18.01.22,2 745
19.01.22,2 727
20.01.22,3 118
21.01.22,2 355
22.01.22,1 685
23.01.22,1 785
24.01.22,2 769
25.01.22,3 174
26.01.22,2 921
27.01.22,3 165
28.01.22,2 719
29.01.22,1 761
30.01.22,1 749
31.01.22,2 703
01.02.22,2 880
02.02.22,3 123
03.02.22,2 980
04.02.22,2 893
05.02.22,1 790
06.02.22,1 963
07.02.22,3 016
08.02.22,3 303
09.02.22,3 549
10.02.22,3 247
11.02.22,3 026
12.02.22,1 707
13.02.22,1 949
14.02.22,2 734
15.02.22,3 060
16.02.22,3 513
17.02.22,3 005
18.02.22,2 367
19.02.22,1 488
20.02.22,1 533
21.02.22,2 129
22.02.22,2 785
23.02.22,2 613
24.02.22,2 539
25.02.22,2 283
26.02.22,1 552
27.02.22,1 602
28.02.22,2 415
01.03.22,2 710
02.03.22,2 897
03.03.22,2 775
04.03.22,2 229
05.03.22,1 711
06.03.22,1 687
07.03.22,2 779
08.03.22,3 020
09.03.22,3 222
10.03.22,2 895
11.03.22,2 060
12.03.22,1 412
13.03.22,1 580
14.03.22,2 671
15.03.22,2 598
16.03.22,2 867
17.03.22,2 907
18.03.22,2 392
19.03.22,1 625
20.03.22,1 678
21.03.22,3 006
22.03.22,3 001
23.03.22,3 209
24.03.22,3 778
25.03.22,2 793
26.03.22,1 626
27.03.22,1 929
28.03.22,2 987
29.03.22,2 835
30.03.22,2 834
31.03.22,3 027
01.04.22,2 393
02.04.22,1 558
03.04.22,1 732
04.04.22,3 079
05.04.22,3 020
06.04.22,7 139
07.04.22,5 521
08.04.22,3 678
09.04.22,2 519
10.04.22,2 327
11.04.22,3 526
12.04.22,3 433
13.04.22,3 225
14.04.22,3 194
15.04.22,2 723
16.04.22,1 856
17.04.22,1 697
18.04.22,3 143
19.04.22,3 550
20.04.22,3 543
21.04.22,3 559
22.04.22,2 794
23.04.22,1 771
24.04.22,2 009
25.04.22,3 382
26.04.22,3 402
27.04.22,3 508
28.04.22,3 403
29.04.22,2 917
30.04.22,1 871
01.05.22,1 742
02.05.22,3 016
03.05.22,3 225
04.05.22,3 227
05.05.22,3 385
06.05.22,4 231
07.05.22,3 390
08.05.22,2 225
09.05.22,3 293
10.05.22,3 632
11.05.22,4 193
12.05.22,4 045
13.05.22,3 353
14.05.22,2 719
15.05.22,2 670
16.05.22,3 329
17.05.22,3 372
18.05.22,3 210
19.05.22,3 645
20.05.22,2 861
21.05.22,2 027
22.05.22,2 124
23.05.22,3 366
24.05.22,3 377
25.05.22,3 550
26.05.22,3 336
27.05.22,2 729
28.05.22,1 777
29.05.22,1 910
30.05.22,2 476
31.05.22,3 194
01.06.22,3 283
02.06.22,3 171
03.06.22,2 941
04.06.22,1 846
05.06.22,1 888
06.06.22,3 319
07.06.22,3 791
08.06.22,3 631
09.06.22,3 932
10.06.22,3 100
11.06.22,1 736
12.06.22,1 851
13.06.22,3 197
14.06.22,3 194
15.06.22,3 339
16.06.22,3 270
17.06.22,2 836
18.06.22,1 684
19.06.22,1 889
20.06.22,2 595
21.06.22,3 204
22.06.22,3 196
23.06.22,3 222
24.06.22,2 791
25.06.22,1 707
26.06.22,1 838
27.06.22,3 089
28.06.22,3 186
29.06.22,3 005
30.06.22,3 018
01.07.22,2 530
02.07.22,1 858
03.07.22,1 970
04.07.22,2 268
05.07.22,2 528
06.07.22,3 097
07.07.22,2 938
08.07.22,2 481
09.07.22,1 624
10.07.22,1 738
11.07.22,2 992
12.07.22,2 998
13.07.22,3 023
14.07.22,2 932
15.07.22,2 625
16.07.22,1 650
17.07.22,1 816
18.07.22,3 057
19.07.22,3 394
20.07.22,3 423
21.07.22,3 208
22.07.22,2 799
23.07.22,1 656
24.07.22,1 846
25.07.22,3 057
26.07.22,3 312
27.07.22,3 505
28.07.22,3 126
29.07.22,2 901
30.07.22,1 565
31.07.22,1 722
01.08.22,3 047
02.08.22,3 060
03.08.22,3 003
04.08.22,3 051
05.08.22,2 681
06.08.22,1 541
07.08.22,1 718
08.08.22,3 049
09.08.22,3 221
10.08.22,3 147
11.08.22,2 776
12.08.22,2 451
13.08.22,1 454
14.08.22,1 586
15.08.22,2 816
16.08.22,2 747
17.08.22,2 811
18.08.22,3 049
19.08.22,2 349
20.08.22,1 363
21.08.22,1 619
22.08.22,2 842
23.08.22,3 152
24.08.22,2 866
25.08.22,3 027
26.08.22,2 748
27.08.22,1 467
28.08.22,1 529
29.08.22,2 642
30.08.22,2 666
31.08.22,2 829
01.09.22,2 570
02.09.22,2 173
03.09.22,1 347
04.09.22,1 380
05.09.22,1 967
06.09.22,2 914
07.09.22,2 854
08.09.22,2 833
09.09.22,2 370
10.09.22,1 335
11.09.22,1 437
12.09.22,2 814
13.09.22,2 992
14.09.22,2 754
15.09.22,2 859
16.09.22,2 247
17.09.22,1 426
18.09.22,1 682
19.09.22,3 029
20.09.22,3 134
21.09.22,2 949
22.09.22,3 078
23.09.22,2 671
24.09.22,1 561
25.09.22,1 657
26.09.22,5 814
27.09.22,7 743
28.09.22,3 796
29.09.22,3 490
30.09.22,2 790
01.10.22,1 573
02.10.22,1 624
03.10.22,2 984
04.10.22,3 086
05.10.22,3 015
06.10.22,3 352
07.10.22,2 603
08.10.22,1 621
09.10.22,1 708
10.10.22,2 868
11.10.22,3 187
12.10.22,4 177
13.10.22,3 376
14.10.22,2 944
15.10.22,1 699
16.10.22,1 873
17.10.22,3 409
18.10.22,3 115
19.10.22,3 480
20.10.22,3 101
21.10.22,2 526
22.10.22,1 414
23.10.22,1 609
24.10.22,2 834
25.10.22,3 197
26.10.22,3 128
27.10.22,2 885
28.10.22,2 401
29.10.22,1 466
30.10.22,1 665
31.10.22,2 708
01.11.22,4 243
02.11.22,3 643
03.11.22,4 360
04.11.22,3 656
05.11.22,1 788
06.11.22,2 132
07.11.22,3 559
08.11.22,4 132
09.11.22,3 631
10.11.22,3 195
11.11.22,2 785
12.11.22,1 738
13.11.22,1 860
14.11.22,3 364
15.11.22,3 422
16.11.22,3 545
17.11.22,3 903
18.11.22,3 040
19.11.22,1 761
20.11.22,1 894
21.11.22,3 200
22.11.22,3 341
23.11.22,2 734
24.11.22,2 392
25.11.22,2 336
26.11.22,1 730
27.11.22,2 073
28.11.22,5 971
29.11.22,3 555
30.11.22,3 300
01.12.22,3 524
02.12.22,3 216
03.12.22,1 678
04.12.22,2 040
05.12.22,3 421
06.12.22,4 382
07.12.22,9 068
08.12.22,5 293
09.12.22,3 450
10.12.22,2 318
11.12.22,2 526
12.12.22,3 810
13.12.22,3 346
14.12.22,3 319
15.12.22,3 015
16.12.22,2 614
17.12.22,1 835
18.12.22,1 604
19.12.22,2 856
20.12.22,2 603
21.12.22,2 556
22.12.22,2 292
23.12.22,1 601
24.12.22,1 158
25.12.22,1 300
26.12.22,1 591
27.12.22,2 095
28.12.22,1 987
29.12.22,1 855
30.12.22,1 449
31.12.22,1 109
01.01.23,1 371
,990 541
